31.713,8.121,17.471,-9.0629,29.885,-1.8453,36.047,-17.923,-8.5229,-12.65,13.333,-22.902,25.835,-33.628,10.155,12.347,-5.7205,-11.315,-2.6202
52.036,48.541,21.888,-9.7038,40.068,-3.2208,43.505,-7.9281,-3.0866,-17.026,17.874,-18.688,21.685,-34.032,6.8728,17.354,-6.0564,-12.653,-4.6416
46.301,12.721,-0.61768,16.417,44.933,6.3947,42.028,-11.185,-2.9424,-13.351,12.407,-22.767,27.457,-30.168,8.0255,19.786,-8.2485,-11.234,-3.2733
25.163,13.541,15.377,-5.3146,46.892,-9.4161,35.436,-11.729,-19.187,-8.6969,12.6,-19.612,23,-31.789,10.959,20.116,-6.8041,-14.687,-4.1376
35.675,15.322,10.823,14.878,45.992,-3.9136,27.983,-2.7711,-13.432,-11.948,19.733,-22.535,18.486,-29.064,5.2742,14.67,-6.4013,-12.283,-2.9782
37.489,30.744,30.067,2.4571,50.357,-0.19443,20.169,-15.281,-8.3015,-22.17,11.557,-16.966,23.325,-30.028,9.242,18.144,-7.6958,-12.007,-1.975
26.868,19.619,36.803,-5.1323,43.926,3.0814,35.162,-2.2053,-3.2154,-7.0942,18.613,-19.33,28.475,-28.829,8.0121,18.502,-4.5671,-12.844,-1.8344
34.047,8.5555,19.524,-6.2128,29.968,-0.9171,26.764,-2.9433,3.4041,-16.027,12.835,-26.265,19.803,-28.472,11.794,18.235,-6.1467,-13.273,-4.1512
20.931,11.766,41.263,12.284,49.566,8.0565,44.874,-9.455,-8.0021,-15.691,19.203,-23.574,19.945,-32.972,11.999,17.084,-8.8857,-12.315,-3.164
43.706,6.1433,36.826,2.4675,55.809,12.286,30.433,-11.946,-6.7986,-9.417,9.072,-20.223,22.343,-30.93,6.7275,16.162,-5.1893,-11.95,-5.4923
32.347,5.068,20.578,-5.779,29.287,5.6823,35.236,-2.7255,-6.4436,-11.776,14.276,-10.943,22.518,-29.477,8.8735,15.796,-10.506,-12.242,-3.884
15.418,14.831,21.794,-3.2239,28.998,5.9364,42.688,-17.056,-9.9323,-14.814,14.489,-18.132,17.938,-26.927,7.4039,19.626,-4.3587,-10.412,-3.204
26.83,9.5107,37.684,-5.6679,41.783,-13.988,39.944,-3.5269,-11.504,-17.788,11.902,-24.23,25.903,-28.199,6.3791,17.52,-8.4346,-9.995,-4.2729
24.631,10.56,12.063,-5.6868,49.166,11.74,37.96,2.4249,-15.153,-23.247,14.234,-19.144,25.437,-30.696,10.428,16.498,-4.2127,-11.984,-3.8913
56.128,36.757,28.209,3.297,33.888,6.6973,37.847,-11.099,-15.575,-13.186,15.804,-22.377,25.106,-23.762,11.681,15.565,-7.0619,-12.637,-4.2026
41.139,-2.4344,31.472,5.3364,21.565,6.4344,31.433,-13.142,-12.255,-20.097,19.332,-21.689,26.318,-31.452,5.6722,18.677,-6.6481,-14.401,-4.1648
69.335,9.9788,32.611,2.9749,28.597,2.9739,39.688,-0.56914,-14.715,-13.375,8.8199,-21.045,20.27,-32.662,8.967,18.529,-5.9222,-11.874,-1.9326
52.302,3.4586,26.6,11.772,37.869,-7.2842,29.967,-8.5446,-8.6947,-13.759,20.444,-16.169,24.215,-31.369,12.346,18.578,-4.7754,-9.4363,-4.5772
39.894,2.9255,28.044,17.462,43.464,-10.065,46.321,-9.8545,-3.2742,-18.57,11.461,-15.844,23.212,-27.753,9.1553,15.321,-4.6664,-14.491,-3.35
65.51,-10.367,21.057,-21.106,57.108,0.74986,39.638,-13.015,-8.0131,-16.496,19.282,-20.607,21.489,-27.768,8.7334,17.582,-7.1102,-12.426,-2.864
