0.93652,0.94531,0.94336,0.9458,0.94727,0.94775,0.94727,0.9502,0.96387,1.0024,1.0405,0.94531,0.70117,0.40723,0.16553,-0.22949,-0.41846,-0.49756,-0.5708,-0.74902,-0.27393,-0.75098,-0.78223,-0.73877,-0.79199,-1.0186,-0.89111,-0.84814,-0.80176,-0.85986,-0.83105,-0.81836,-0.73389,-0.69092,-0.69189
0.23877,0.23389,0.25488,0.2334,0.24219,0.23486,0.24121,0.23682,0.31934,0.45166,0.64648,0.71631,0.86963,0.93604,0.89746,0.8501,0.8125,0.68701,0.63086,0.51563,0.49854,0.44873,0.47314,0.44873,0.44531,0.48779,0.47998,0.54346,0.54834,0.5249,0.50195,0.48047,0.43213,0.46777,0.47217
-0.013672,-0.014648,-0.0029297,-0.019531,-0.01416,-0.034668,-0.016113,-0.030273,-0.047852,-0.083496,0.086914,0.25,0.37549,0.36865,0.36865,0.26318,0.19873,0.050781,0.0048828,-0.040039,0.019043,-0.36035,-0.3418,-0.32764,-0.36963,-0.39307,-0.24951,-0.10205,-0.083496,-0.16211,-0.27637,-0.37598,-0.46582,-0.29346,-0.26514
-2,9,-12,9,0,-5,7,23,9,2,-2,9,-37,8,26,-9,-18,9,1,7,-19,-6,3,1,8,2,2,16,2,-11,-8,16,1,-2,5
-1,-1,-1,-1,-4,0,0,2,-1,-25,-14,8,-18,-2,-6,3,5,1,-6,-6,-6,2,-4,1,-2,-7,4,-3,9,-1,-15,-7,7,-2,-5
-2,-1,0,-2,-4,-1,-2,1,2,-14,-5,1,-15,-19,-15,15,1,-2,-2,-7,-3,-1,-9,4,-1,-4,-4,-1,5,-4,-12,-8,8,-1,-4
-1,-1,0,-3,-5,1,-2,0,1,-9,1,-13,-3,-16,-1,10,1,-7,-4,-4,-2,-7,-4,6,-3,-10,-3,5,-2,-2,-6,-8,3,0,-3
-1,-2,-1,-2,-2,-1,0,1,1,-10,-2,-1,4,-9,-5,5,1,0,-4,4,5,-9,3,1,3,-11,-2,1,-1,1,-5,-2,1,-1,-19
0,-3,0,0,-1,-2,-1,-1,3,-28,3,-3,2,-6,-3,-1,-4,-3,-2,-3,-1,14,-3,-11,7,1,-3,0,1,0,-8,16,-5,0,-8
-2,-1,-1,1,0,0,0,3,9,-27,1,-4,3,0,4,-1,-4,11,-21,9,-12,2,-5,13,-10,15,3,1,5,3,-6,7,-28,3,-4
-1,0,-3,2,-3,-1,2,14,12,6,10,11,-15,9,10,24,-10,45,0,-13,-7,8,-6,13,-3,-1,-4,-1,1,16,-4,3,33,-6,-4
-0.625,-1.9375,-0.1875,-0.125,2.625,0.25,-0.375,0.3125,-3,-77.5,-86.688,-27.375,11.188,15.438,30.5,25.563,20.375,23.375,8.6875,3.625,-16.5,-17.938,-12.438,-5.8125,6.375,13.75,12.938,10.125,1.75,-9.125,-15.875,-16.5,-19.375,6.125,-5.9375
-0.625,-1.9375,-0.1875,-0.125,2.625,0.25,-0.375,0.3125,-3,-77.5,-86.688,-27.375,11.188,15.438,30.5,25.563,20.375,23.375,8.6875,3.625,-16.5,-17.938,-12.438,-5.8125,6.375,13.75,12.938,10.125,1.75,-9.125,-15.875,-16.5,-19.375,6.125,-5.9375
-0.625,-1.9375,-0.1875,-0.125,2.625,0.25,-0.375,0.3125,-3,-77.5,-86.688,-27.375,11.188,15.438,30.5,25.563,20.375,23.375,8.6875,3.625,-16.5,-17.938,-12.438,-5.8125,6.375,13.75,12.938,10.125,1.75,-9.125,-15.875,-16.5,-19.375,6.125,-5.9375
7.5998,7.5974,7.5932,7.5891,7.5861,7.5865,7.5903,7.6074,7.6122,7.4805,7.2902,7.1464,7.0747,7.067,7.0879,7.1606,7.2692,7.4338,7.6445,8.014,8.2281,8.3886,8.4223,8.4211,8.43,8.3518,8.1775,8.0127,7.9961,8.0812,8.2838,8.4371,8.5106,8.4709,8.3598
2.8872,2.8866,2.8866,2.8855,2.8846,2.8845,2.885,2.8846,2.8916,3.0039,3.2098,3.5107,4.0439,4.5021,4.9535,5.5216,5.8769,6.1576,6.3556,6.5064,6.5411,6.5433,6.5438,6.5556,6.5635,6.5707,6.5628,6.5434,6.531,6.5313,6.5304,6.5205,6.5049,6.5138,6.4952
0.81433,0.8129,0.81668,0.81971,0.82607,0.82553,0.82212,0.80428,0.79876,0.79964,0.84746,0.91743,1.001,1.0839,1.1756,1.3299,1.4878,1.6995,1.9672,2.4122,2.7053,2.9554,3.0152,3.0306,3.031,2.8907,2.647,2.4146,2.3898,2.5132,2.7958,3.0117,3.1279,3.0706,2.9485
0.95068,0.93994,0.94092,0.95215,0.94238,0.94629,0.9707,0.9917,1.1196,0.86426,0.84521,0.6748,0.024414,-0.18066,-0.38135,-0.40381,-0.42676,-0.65674,-0.66797,-0.71924,-0.7417,-0.92725,-0.8457,-0.78027,-0.77539,-0.80322,-0.78223,-0.76172,-0.6709,-0.66016,-0.61865,-0.49414,-0.52002,-0.29639,-0.13916
0.22998,0.2417,0.22656,0.23633,0.23145,0.22705,0.2749,0.39941,0.53125,0.90918,0.80615,1.0112,0.99365,0.95508,0.75146,0.6167,0.48096,0.41504,0.36182,0.396,0.4834,0.48682,0.51855,0.55029,0.49561,0.51367,0.41699,0.38672,0.41992,0.3584,0.50195,0.57471,0.74414,0.87793,1.0464
0.00048828,0.0063477,-0.00048828,0.00097656,-0.00097656,-0.0039063,-0.018555,-0.084961,0.060547,0.16553,0.27783,0.38477,0.31543,0.24219,0.15137,0.10596,-0.05127,-0.23535,-0.3623,-0.56445,-0.40869,-0.41504,-0.2583,-0.16748,-0.16162,-0.25,-0.36084,-0.48828,-0.32324,-0.28076,-0.14551,-0.033203,0,0.024414,0.22998
7,4,9,-5,-14,3,-11,26,10,-4,35,-13,44,-20,-10,16,-35,57,31,-31,-3,12,-8,-4,9,2,-9,0,-26,-17,-8,-4,33,8,11
0,-1,2,2,-4,-2,1,14,-12,18,47,-6,-15,-2,-12,9,-7,16,4,-11,-3,9,0,-10,8,1,-2,-2,-11,-1,-5,-4,6,2,19
1,-3,0,0,-3,-1,-13,22,-10,-7,23,-10,-5,6,-16,4,-7,10,-1,-10,-1,3,2,-11,9,5,-2,2,-5,-1,-4,-3,7,1,15
0,0,-1,0,-1,-2,-9,7,-8,-16,10,-11,-12,4,-7,-2,-10,1,-2,-4,-2,2,-4,-1,5,3,-3,0,-3,0,-1,-5,6,1,2
-1,-2,0,-2,0,-2,-4,2,-4,-3,10,-1,2,-1,-3,1,-6,7,-2,-4,1,4,1,-2,-1,4,-2,1,-2,-1,-1,-4,4,0,-1
-1,-1,1,-2,-2,-2,-3,1,-8,1,3,-2,10,-6,-5,-6,-8,10,-11,-3,0,1,-1,-1,-6,-1,-5,5,6,0,-1,-5,-1,2,-4
-1,-4,0,-7,-2,0,-3,-1,-12,0,17,-7,2,-10,-4,-24,-4,12,-13,-17,5,-23,5,-2,5,11,-8,-10,-12,0,3,-4,6,-8,-1
3,-4,0,2,-5,0,1,-5,-8,-19,47,-13,24,-44,-17,52,-18,1,7,24,-5,6,-9,-1,17,-14,-22,8,-18,-9,-2,-20,19,17,-2
-0.75,1.375,3.25,0.5625,3.25,-0.5,-0.6875,-45.375,-36.563,-1.25,-13.188,62.25,49.75,66.625,64.75,39.375,14.75,-16.563,-15.938,-17,1.3125,8.1875,14.5,7.5,-4.6875,-11.938,-12.75,-15.5,10.563,-6.5,-24.938,-48.625,-51.875,-51.188,-73
