0.85059,0.85791,0.85693,0.84863,0.84814,0.85693,0.86133,0.94727,0.90771,1.0098,0.68359,0.61084,0.17529,0.16797,-0.027832,-0.39404,-0.29248,-0.23047,-0.36377,-0.36719,-0.58252,-0.35449,-0.5835,-0.76709,-0.42627,-0.50098,-0.53027,-0.52246,-0.48975,-0.46729,-0.49219,-0.47705,-0.47754,-0.46973,-0.4751,-0.47607,-0.47803,-0.46094,-0.48389,-0.43408
0.47412,0.45752,0.46826,0.46484,0.46924,0.46582,0.47949,0.48926,0.6709,0.7666,0.89453,0.9624,0.76318,1.0049,0.96436,0.84619,0.77637,0.76465,0.81543,0.86572,0.90967,0.79639,0.66211,1.1606,0.68213,0.81836,0.90381,0.90625,0.88379,0.87061,0.89404,0.88574,0.88184,0.87305,0.88867,0.87061,0.86572,0.88428,0.87207,0.87451
-0.18652,-0.18652,-0.19189,-0.17822,-0.18848,-0.18408,-0.17773,-0.1665,-0.10742,-0.032715,0.013184,0.11621,0.018066,0.104,0.25732,0.069824,0.15381,0.18262,0.095215,0.069336,0.019043,0.08252,-0.14404,-0.039551,-0.034668,-0.11084,-0.046387,-0.058105,-0.056641,-0.067871,-0.060059,-0.069824,-0.071289,-0.060547,-0.04541,-0.064453,-0.064453,-0.058105,-0.05957,-0.047363
2,-4,-1,-1,-2,-10,0,3,1,-14,3,-2,1,-4,-3,-8,9,10,-24,-23,-53,-24,-34,-12,-16,-59,27,12,58,-6,52,-36,11,-8,38,-21,-14,22,-21,-15
0,1,-1,-1,-1,-2,-2,-1,2,1,-6,-1,-10,2,-2,-6,0,6,-10,-19,-72,1,-43,33,-30,-19,-8,5,-2,-7,2,-2,-8,0,-6,-4,-13,-1,-1,-5
-2,1,0,1,-3,-1,-1,-1,-3,-3,-3,-5,5,2,-5,-8,0,5,-9,-12,-19,-22,-44,19,-10,8,-12,-5,-13,-2,3,-2,0,6,-4,1,-10,-2,-5,-4
1,-1,-1,0,-2,0,1,-1,-5,-5,1,0,-2,0,-5,-13,-1,1,-10,-14,-9,-34,-10,4,9,24,-8,-10,-18,5,-3,-2,-6,15,-2,5,-7,2,-5,0
0,0,-2,-2,-1,-1,1,0,-4,-4,1,-1,3,-1,-2,-2,-16,-20,-11,-3,-12,-13,-7,-2,1,17,-5,-7,-4,-3,1,0,-3,3,-2,2,-1,1,-2,-1
-2,-2,-1,-1,-1,-2,0,-2,-2,-1,1,-2,2,-2,-3,-31,1,46,-29,-2,-2,-6,-3,-11,-3,2,-7,-4,1,-1,-5,0,1,0,-2,0,-1,4,-2,-1
-4,-2,-1,1,1,0,-1,-2,2,2,-4,-3,-5,-10,2,-12,1,15,-8,-2,5,4,-24,-1,-12,-5,-10,-2,7,-3,-5,5,4,0,-1,0,-1,7,-8,-1
