0.90137,0.93018,0.9082,0.90332,0.89844,0.91895,0.92578,0.88184,0.90723,0.93164,0.93555,0.90967,0.89307,0.89795,0.91113,0.89746,0.90186,0.89697,0.88721,0.91016,0.89404,0.87988,0.91455,0.91016,0.88867,0.88135,0.91846,0.90234,0.89307,0.90527,0.90674,0.90527,0.89795,0.90283,0.89893
-0.43359,-0.4248,-0.39551,-0.3877,-0.41113,-0.3877,-0.39453,-0.38525,-0.43262,-0.43311,-0.38721,-0.40332,-0.40186,-0.39355,-0.41016,-0.41699,-0.43311,-0.41748,-0.43604,-0.42188,-0.41064,-0.40967,-0.4375,-0.43066,-0.43408,-0.45215,-0.4458,-0.41504,-0.42285,-0.40527,-0.42285,-0.4209,-0.4248,-0.43408,-0.42041
-0.057129,-0.05127,-0.051758,-0.056152,-0.031738,-0.045898,-0.047852,-0.046387,-0.041992,-0.078613,-0.1001,-0.081543,-0.063477,-0.053223,-0.055176,-0.05127,-0.056641,-0.057617,-0.046387,-0.052246,-0.055664,-0.042969,-0.04248,-0.053711,-0.050781,-0.046875,-0.052246,-0.069336,-0.042969,-0.057617,-0.041992,-0.049805,-0.053223,-0.050781,-0.053711
1,-2,-1,0,0,-1,-1,0,0,0,-1,-3,-2,0,-1,-1,0,-1,-1,-2,-1,-4,0,-1,-1,0,0,0,-2,0,-2,-1,0,-1,0
-2,0,-1,-2,-1,-1,-1,-1,-1,-1,-2,-2,0,-1,0,-1,-1,0,-1,-1,-2,1,-3,-3,-1,0,-3,-3,-1,0,-3,-1,0,-2,-2
-2,0,-2,-1,-2,-1,0,0,-1,-2,-2,-3,1,-2,0,-2,-1,-1,0,-1,-1,-1,0,0,0,-2,0,-1,1,-1,-1,-1,0,0,-2
1,0,-2,0,-2,-2,-1,-1,0,-1,-2,-1,1,0,-1,-2,-2,-1,0,-1,1,-2,-1,-2,1,-1,-1,-3,0,-2,0,-3,0,-2,-1
1,-1,-1,-1,-1,-2,-2,-3,-2,-3,-1,0,-1,-1,-1,-1,0,0,-3,-1,1,-1,-2,-1,-2,-1,-1,-2,-1,-1,-3,-1,-1,-1,0
-1,0,-2,-1,-3,-2,-1,0,-3,-1,-1,-1,0,1,0,-2,-4,-2,-2,-1,-1,1,-1,-2,-1,-2,-1,0,0,-2,0,-2,-2,-1,0
-3,-1,-3,-1,-3,1,1,-1,0,0,-1,0,-1,-1,-2,-1,-1,-1,0,-3,0,-1,-1,1,-1,-1,1,-1,-1,0,-1,1,-2,-1,-1
1,-1,-1,0,0,-1,-1,0,-2,-1,-2,-1,-1,-1,-1,0,-1,-1,-3,-1,-1,-1,0,-2,-1,0,-2,-1,-1,0,-1,-2,-1,-1,0
-4.5625,3.0625,5.125,0.3125,3.875,7.4375,6.4375,-13.125,-24.188,-13.563,-5.625,-8.125,-0.0625,-2.75,-3.0625,-0.6875,-4.75,1.5,0.375,2.3125,6.5,0.5625,1.125,2.5625,-2.5,-4,-2.875,-0.25,-3.0625,-1.625,-2.625,-0.75,-0.5,-1.4375,0.5
-4.5625,3.0625,5.125,0.3125,3.875,7.4375,6.4375,-13.125,-24.188,-13.563,-5.625,-8.125,-0.0625,-2.75,-3.0625,-0.6875,-4.75,1.5,0.375,2.3125,6.5,0.5625,1.125,2.5625,-2.5,-4,-2.875,-0.25,-3.0625,-1.625,-2.625,-0.75,-0.5,-1.4375,0.5
-4.5625,3.0625,5.125,0.3125,3.875,7.4375,6.4375,-13.125,-24.188,-13.563,-5.625,-8.125,-0.0625,-2.75,-3.0625,-0.6875,-4.75,1.5,0.375,2.3125,6.5,0.5625,1.125,2.5625,-2.5,-4,-2.875,-0.25,-3.0625,-1.625,-2.625,-0.75,-0.5,-1.4375,0.5
2.2984,2.2761,2.277,2.2812,2.2781,2.2636,2.2518,2.2432,2.2189,2.1975,2.2181,2.2476,2.2756,2.2853,2.2785,2.2776,2.2747,2.2817,2.2881,2.2973,2.3108,2.316,2.3162,2.3179,2.322,2.3214,2.3067,2.3022,2.2938,2.2881,2.2851,2.2874,2.2975,2.3044,2.3082
3.1766,3.1858,3.1982,3.2084,3.2157,3.2135,3.2078,3.1915,3.174,3.1651,3.1727,3.1869,3.2007,3.2077,3.2067,3.2038,3.1997,3.202,3.2055,3.2102,3.2138,3.2136,3.2083,3.2051,3.2056,3.2077,3.2094,3.2123,3.2148,3.2146,3.2138,3.2131,3.2121,3.211,3.2104
5.4265,5.45,5.4609,5.4593,5.4658,5.4951,5.5213,5.5253,5.5116,5.5031,5.4636,5.4145,5.379,5.368,5.3709,5.3702,5.3658,5.3578,5.3526,5.3488,5.3446,5.3425,5.342,5.3448,5.3386,5.3329,5.3402,5.3445,5.3446,5.3496,5.3481,5.3448,5.333,5.3242,5.3196
0.90527,0.90088,0.90479,0.90869,0.89941,0.91504,0.9165,0.91406,0.90869,0.90576,0.9043,0.90283,0.89014,0.89795,0.93408,0.92627,0.89648,0.90186,0.90869,0.90723,0.90869,0.9043,0.90771,0.91309,0.91846,0.91455,0.8999,0.90039,0.91943,0.91846,0.91895,0.90332,0.8916,0.9043,0.92676
-0.41602,-0.42822,-0.44189,-0.44189,-0.44629,-0.43018,-0.42139,-0.4043,-0.40625,-0.38184,-0.3916,-0.38916,-0.40674,-0.43213,-0.42822,-0.42383,-0.41504,-0.39795,-0.3916,-0.39258,-0.40381,-0.39502,-0.42578,-0.42725,-0.41504,-0.42188,-0.38867,-0.38379,-0.40723,-0.40332,-0.41064,-0.39941,-0.40186,-0.40723,-0.4043
-0.041016,-0.036133,-0.040039,-0.041016,-0.042969,-0.046387,-0.047363,-0.057129,-0.043945,-0.053711,-0.035645,-0.045898,-0.041504,-0.04541,-0.077637,-0.085938,-0.064453,-0.064453,-0.06543,-0.070313,-0.059082,-0.053223,-0.058594,-0.051758,-0.071289,-0.063965,-0.070313,-0.061523,-0.053223,-0.047852,-0.057617,-0.078125,-0.065918,-0.054199,-0.056152
-1,-1,-2,-1,-1,0,-2,-1,-1,0,0,0,-1,-1,-1,-2,-2,-1,-2,-2,-1,-1,0,0,-1,0,-1,0,-2,-1,-1,0,-1,-1,-1
-1,-1,-1,1,-1,-1,-2,0,1,-1,-1,-1,-3,-2,-3,0,-1,-1,-1,-2,-1,0,-2,0,-1,-1,-2,0,0,-1,-2,-2,-1,0,0
0,-1,-2,-1,-2,-2,-1,-3,0,-1,-2,-2,0,-1,-2,-2,0,-2,0,-2,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-2,-1,1,-1,0
-1,-2,0,-1,-1,0,-2,-1,-1,-2,-1,0,-1,-1,-1,-1,1,-1,-1,-2,-1,-3,-1,-2,-1,-1,1,-1,-1,-1,-1,-1,-2,0,-3
-1,-3,-1,0,-1,-1,-1,-3,-1,-1,-1,0,-1,-2,0,-1,-2,0,0,-2,1,-2,1,1,-1,-2,-1,-1,-1,-2,0,0,-2,0,-1
-1,-1,-2,0,1,-1,-2,0,-1,-2,0,0,0,-2,-2,0,0,-2,-1,-1,1,-2,0,-1,-1,0,-2,1,-2,-2,-1,-3,-3,-1,2
-1,0,-2,-1,-3,-3,-2,-1,-2,0,-2,-1,-2,-1,-1,-2,-2,-2,2,-2,0,-1,-1,-1,-1,-2,-1,0,-1,-2,-2,1,-1,-1,-2
-1,0,-1,-1,0,-1,-1,0,-2,0,-1,-1,0,0,-2,-1,-2,-1,0,-2,-1,1,-2,-1,-2,2,-1,1,-2,-3,-1,-1,0,-2,0
11.75,2.9375,2.875,-2.8125,-11.063,-8.375,-9.8125,-3.375,-2.875,1.3125,5.1875,-5.125,-12.188,-14,-5.1875,-3.5625,-2.125,-0.125,-2.4375,0.6875,0.3125,0,-1.3125,-1.5,2.625,2.5625,1.1875,2.625,1.9375,-2.75,0.6875,0.1875,-4.125,-4.1875,-3.8125
11.75,2.9375,2.875,-2.8125,-11.063,-8.375,-9.8125,-3.375,-2.875,1.3125,5.1875,-5.125,-12.188,-14,-5.1875,-3.5625,-2.125,-0.125,-2.4375,0.6875,0.3125,0,-1.3125,-1.5,2.625,2.5625,1.1875,2.625,1.9375,-2.75,0.6875,0.1875,-4.125,-4.1875,-3.8125
11.75,2.9375,2.875,-2.8125,-11.063,-8.375,-9.8125,-3.375,-2.875,1.3125,5.1875,-5.125,-12.188,-14,-5.1875,-3.5625,-2.125,-0.125,-2.4375,0.6875,0.3125,0,-1.3125,-1.5,2.625,2.5625,1.1875,2.625,1.9375,-2.75,0.6875,0.1875,-4.125,-4.1875,-3.8125
2.4257,2.4266,2.414,2.387,2.3232,2.2916,2.2715,2.2758,2.2902,2.3013,2.3081,2.2988,2.2734,2.2406,2.2201,2.2297,2.276,2.2931,2.2937,2.2921,2.2822,2.2712,2.2533,2.2377,2.2348,2.2381,2.2469,2.2505,2.2525,2.2597,2.272,2.2763,2.2776,2.2682,2.2617
3.1961,3.1882,3.1803,3.1737,3.1688,3.1727,3.1817,3.2011,3.2149,3.2234,3.2269,3.2164,3.1988,3.1793,3.1671,3.1702,3.1932,3.2044,3.2081,3.2073,3.1995,3.1882,3.176,3.1647,3.1626,3.1667,3.1719,3.175,3.1754,3.1743,3.1754,3.1754,3.177,3.1754,3.1729
5.3113,5.3216,5.34,5.3676,5.4127,5.4308,5.4354,5.4168,5.3953,5.3832,5.3816,5.3948,5.4062,5.4172,5.4206,5.4051,5.3461,5.3263,5.3219,5.3218,5.33,5.3436,5.3611,5.3789,5.3851,5.3845,5.3811,5.3773,5.3769,5.3701,5.3569,5.3515,5.3448,5.3467,5.3474
0.91602,0.89404,0.89258,0.89941,0.89795,0.91406,0.90918,0.90918,0.90137,0.90674,0.91162,0.90625,0.91455,0.91504,0.91016,0.90918,0.89746,0.89893,0.89893,0.90039,0.90967,0.91504,0.9126,0.89697,0.91357,0.91064,0.91357,0.89551,0.90674,0.91553,0.92236,0.93018,0.91846,0.88379,0.89648
