0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115
0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424
-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062,-0.039062
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875
-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875
-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875,-2.1875
7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265,7.7265
3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516,3.0516
2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279,2.7279
0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115,0.93115
0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424,0.34424
